Car Name,Condition,Mileage,Engine Type,Rating,Price,Location,Year
2017 Nissan NP 300,local,41010.0,4-cylinder,3.4,"GH¢ 187,930","Accra, Dzorwulu Residential Area",2017
2022 Honda Civic,foreign,30000.0,4-cylinder,3.0,"GH¢ 301,150","Greater Accra, Dansoman",2022
2018 Honda CR-V,local,47224.0,4-cylinder,4.4,"GH¢ 360,000","Greater Accra, Airport",2018
2016 Land Rover Discovery Sport,foreign,34796.0,6-cylinder,3.0,"GH¢ 470,000","Accra, Dome",2016
2023 Nissan Rogue,foreign,14912.0,3-cylinder,4.4,"GH¢ 408,250","Accra, Dansoman",2023
2007 Toyota Camry,foreign,56000.0,4-cylinder,3.0,"GH¢ 265,450","Accra, Dzorwulu Residential Area",2007
2016 Hyundai Tucson,foreign,55000.0,4-cylinder,3.0,"GH¢ 321,550","Accra, Dzorwulu Residential Area",2016
2018 Ford Raptor,foreign,34000.0,6-cylinder,3.0,"GH¢ 612,250","Accra, Dzorwulu Residential Area",2018
2022 Honda Accord,local,6213.0,4-cylinder,3.0,"GH¢ 245,050","Accra, Dzorwulu Residential Area",2022
2019 Nissan NAVARA LE +,foreign,6213.0,6-cylinder,3.0,"GH¢ 479,650","Accra, Dzorwulu Residential Area",2019
2016 Honda Pilot,foreign,6213.0,4-cylinder,3.0,"GH¢ 441,910","Accra, Dzorwulu Residential Area",2016
2022 Honda Civic,foreign,59651.0,4-cylinder,4.2,"GH¢ 341,950","Greater Accra, Abelemkpe",2022
2019 Honda Civic,foreign,52195.0,4-cylinder,4.4,"GH¢ 301,150","Greater Accra, Abelemkpe",2019
2019 Honda Accord,foreign,88000.0,4-cylinder,4.4,"GH¢ 326,650","Greater Accra, Abelemkpe",2019
2017 Hyundai Elantra,foreign,31068.0,4-cylinder,4.4,"GH¢ 140,000","Greater Accra, Airport",2017
2017 Hyundai Santa Fe,foreign,6213.0,4-cylinder,3.0,"GH¢ 285,850","Accra, Dzorwulu Residential Area",2017
2023 Mitsubishi L200,local,23612.0,4-cylinder,3.0,"GH¢ 367,450","Accra, Dzorwulu Residential Area",2023
2015 Honda Civic,foreign,27961.0,4-cylinder,3.0,"GH¢ 178,750","Accra, Abelemkpa",2015
2020 Honda CR-V,foreign,48000.0,4-cylinder,4.4,"GH¢ 418,450","Greater Accra, Airport",2020
2025 Toyota Landcruiser Prado,new,0.0,4-cylinder,4.9,"GH¢ 1,363,500","Greater Accra, Airport",2025
2025 Hyundai Santa FE,new,0.0,4-cylinder,5.0,"GH¢ 728,000","Greater Accra, Airport",2025
2015 Toyota Corolla,foreign,55000.0,4-cylinder,4.4,"GH¢ 170,000","Greater Accra, Airport",2015
2025 Mitsubishi L200,new,0.0,4-cylinder,4.8,"GH¢ 417,820","Greater Accra, Airport",2025
2025 Mitsubishi L200,new,0.0,4-cylinder,4.8,"GH¢ 417,820","Greater Accra, Airport",2025
2015 Hyundai Santa Fe,local,76428.0,4-cylinder,3.0,"GH¢ 178,750","Accra, Haatso",2015
2025 JMC CARRYING PLUS N720,new,0.0,4-cylinder,4.8,"GH¢ 579,610","Accra, Dzorwulu Residential Area",2025
2015 Hyundai county,foreign,42253.0,6-cylinder,4.3,"GH¢ 370,408","Greater Accra, Achimota",2015
2015 Toyota Camry,foreign,40389.0,4-cylinder,3.0,"GH¢ 245,050","Accra, Tema",2015
2015 Toyota Corolla,foreign,31068.0,4-cylinder,4.4,"GH¢ 170,000","Greater Accra, Airport",2015
2024 Honda Accord,foreign,3000.0,4-cylinder,4.2,"GH¢ 632,650","Greater Accra, Achimota",2024
2018 Honda Accord,foreign,55302.0,4-cylinder,3.0,"GH¢ 326,650","Accra, Tema",2018
2014 Mercedes-Benz C 250,foreign,102526.0,4-cylinder,3.0,"GH¢ 265,450","Accra, Tema",2014
2013 Toyota Corolla,foreign,33554.0,4-cylinder,3.0,"GH¢ 245,050","Accra, Tema",2013
2017 Toyota Corolla,foreign,27961.0,4-cylinder,3.0,"GH¢ 245,050","Accra, Tema",2017
2017 Toyota Yaris,foreign,26718.0,4-cylinder,3.0,"GH¢ 194,050","Accra, Tema",2017
2016 Mitsubishi OUTLANDER,foreign,45360.0,4-cylinder,4.4,"GH¢ 362,350","Accra, Haatso",2016
2019 Toyota Corolla,foreign,77671.0,4-cylinder,4.1,"GH¢ 306,250","Accra, Haatso",2019
2019 Toyota RAV4,foreign,69593.0,4-cylinder,4.2,"GH¢ 581,650","Accra, Achimota",2019
2025 JETOUR Dashing,new,0.0,4-cylinder,4.9,"GH¢ 396,000","Greater Accra, Airport",2025
2017 Ford Escape,foreign,108000.0,4-cylinder,4.4,"GH¢ 311,350","Greater Accra, Airport",2017
2017 Honda Cr-v,foreign,40389.0,4-cylinder,3.0,"GH¢ 306,250","Accra, Bawalishi",2017
