Car Name,Condition,Mileage,Engine Type,Rating,Price,Location,Year
2019 Hyundai Kona,foreign,72000.0,4-cylinder,3.0,"₦ 27,515,000","Lagos, Ebute Meta",2019
2012 Ford Focus,foreign,95000.0,6-cylinder,3.0,"₦ 8,515,000","Lagos, Ikeja",2012
2013 Toyota Avalon,foreign,51573.0,6-cylinder,3.0,"₦ 22,015,000","Lagos, Ikota, Lekki",2013
2018 Toyota Highlander,foreign,15000.0,6-cylinder,3.0,"₦ 38,515,000","Lagos, Agege",2018
2016 Honda CR-V,foreign,111000.0,6-cylinder,3.0,"₦ 25,015,000","Lagos, Ojodu Berger",2016
2008 Toyota Highlander,foreign,86000.0,6-cylinder,3.0,"₦ 12,515,000","Abuja, Kubwa Express",2008
2017 Mercedes-Benz GLE 350,local,10000.0,6-cylinder,3.0,"₦ 37,015,000","Lagos, Agege",2017
2015 Mercedes-Benz GLK 350,local,86000.0,4-cylinder,3.0,"₦ 17,515,000","Abuja, Kubwa Express",2015
2014 Nissan Pathfinder,foreign,6213.0,6-cylinder,3.0,"₦ 16,500,000","Lagos, Ipaja",2014
2016 Hyundai Santa FE,foreign,2000.0,4-cylinder,3.0,"₦ 23,515,000","Lagos, Ajah",2016
2020 Toyota corolla,foreign,69593.0,4-cylinder,3.0,"₦ 28,015,000","Lagos, Ikota, Lekki",2020
2015 Toyota Highlander,foreign,107000.0,6-cylinder,3.0,"₦ 33,500,000","Lagos, Lekki",2015
2010 Mercedes-Benz C 300,local,86000.0,4-cylinder,3.0,"₦ 8,315,000","Abuja, Kubwa Express",2010
2006 Toyota camry,foreign,66486.0,6-cylinder,3.0,"₦ 9,015,000","Lagos, Igando",2006
2010 Toyota corolla,local,120000.0,4-cylinder,3.0,"₦ 8,500,000","Abuja, Airport Junction Citec",2010
2016 Ford Edge,foreign,129000.0,4-cylinder,3.0,"₦ 19,015,000","Lagos, Ikota, Lekki",2016
2010 Mercedes-Benz 300,local,219000.0,4-cylinder,4.4,"₦ 8,315,000","Abuja, Kubwa Express",2010
2018 Mercedes-Benz GLE 43 AMG,foreign,6835.0,4-cylinder,3.0,"₦ 83,000,000","Lagos, Ikate, Lekki",2018
2018 Toyota 4-Runner,foreign,8077.0,8-cylinder,3.0,"₦ 65,015,000","Lagos, Berger Market",2018
2016 Honda Accord,foreign,1000.0,4-cylinder,3.0,"₦ 18,015,000","Abuja, CBD",2016
2017 Lexus RX 350,foreign,3106.0,4-cylinder,3.0,"₦ 58,015,000","Lagos, Lasu",2017
2012 Toyota Camry,foreign,1000.0,6-cylinder,3.0,"₦ 16,515,000","Lagos, Ajah",2012
2009 Toyota Venza,local,86000.0,4-cylinder,3.0,"₦ 12,015,000","Abuja, Kubwa Express",2009
2016 Toyota Highlander,foreign,28583.0,6-cylinder,3.0,"₦ 29,015,000","Lagos, Ago",2016
2018 Mercedes-Benz C 43 AMG,foreign,50000.0,6-cylinder,3.0,"₦ 49,015,000","Lagos, Lekki",2018
2015 Toyota Highlander,foreign,90720.0,6-cylinder,3.0,"₦ 29,015,000","Lagos, Ago",2015
2018 Honda Accord,foreign,80000.0,4-cylinder,3.0,"₦ 35,015,000","Lagos, Lekki",2018
2010 Lexus RX 350,foreign,244000.0,6-cylinder,3.6,"₦ 21,000,000","363, Herbert Macaulay way, Sabo yaba, Sabo Yaba",2010
2021 Mercedes-Benz GLE 350,foreign,31000.0,6-cylinder,3.0,"₦ 87,015,000","Lagos, Ikate, Lekki",2021
2010 Toyota Venza,local,196000.0,4-cylinder,3.3,"₦ 13,015,000","Lagos, Ipaja",2010
2017 Hyundai Sonata,local,78000.0,4-cylinder,3.0,"₦ 13,015,000","Lagos, ketu",2017
2016 Lexus RX 350,foreign,47000.0,6-cylinder,3.0,"₦ 48,515,000","Lagos, Surulere",2016
2015 Toyota Camry,foreign,95000.0,4-cylinder,3.0,"₦ 20,015,000","Lagos, Surulere",2015
2016 Toyota Camry,foreign,52000.0,4-cylinder,3.0,"₦ 20,515,000","Lagos, Surulere",2016
2018 Toyota RAV 4,foreign,70000.0,4-cylinder,3.0,"₦ 35,015,000","Lagos, Surulere",2018
